epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,12721.5,1.28198,0.789,1.00676,0.69342,0.43513,0.50753,0.2997,1.75498,1.3934,1.26237,0.007426,0.007426,0.007426
80,12883.1,1.28061,0.78547,1.00542,0.6771,0.44089,0.50642,0.29976,1.7547,1.39293,1.26178,0.007393,0.007393,0.007393
81,13046.6,1.27632,0.78355,1.00417,0.68072,0.43948,0.50735,0.29997,1.75385,1.39348,1.2613,0.00736,0.00736,0.00736
82,13208.3,1.28141,0.78795,1.0061,0.68133,0.44227,0.50808,0.30021,1.75645,1.39118,1.26202,0.007327,0.007327,0.007327
83,13368.6,1.27725,0.7835,1.0055,0.6708,0.44385,0.50734,0.30017,1.75636,1.39278,1.2618,0.007294,0.007294,0.007294
84,13530.2,1.27781,0.78247,1.00424,0.66899,0.44334,0.50686,0.30046,1.75647,1.39591,1.26229,0.007261,0.007261,0.007261
85,13691.4,1.27965,0.78083,1.00431,0.66062,0.44589,0.50667,0.30001,1.75684,1.40363,1.26201,0.007228,0.007228,0.007228
86,13851.1,1.27023,0.77875,1.00247,0.65304,0.45123,0.50673,0.30032,1.75722,1.40971,1.26176,0.007195,0.007195,0.007195
87,14011.2,1.27505,0.78161,1.00328,0.65148,0.45127,0.50638,0.30033,1.75742,1.41537,1.26195,0.007162,0.007162,0.007162
88,14172.7,1.27556,0.77833,1.00237,0.64705,0.45191,0.50631,0.30001,1.75771,1.4154,1.26171,0.007129,0.007129,0.007129
89,14332.3,1.27359,0.77979,1.00229,0.64708,0.45273,0.50615,0.29995,1.75639,1.41676,1.26129,0.007096,0.007096,0.007096
90,14491.4,1.27101,0.77709,1.00202,0.64565,0.45345,0.50615,0.30023,1.75601,1.41831,1.26095,0.007063,0.007063,0.007063
91,14651.8,1.2685,0.77272,1.00078,0.64565,0.45137,0.50605,0.30012,1.75563,1.42036,1.26049,0.00703,0.00703,0.00703
92,14811.4,1.26618,0.77001,0.99966,0.64436,0.45384,0.50591,0.30026,1.75588,1.42265,1.26031,0.006997,0.006997,0.006997
93,14973.3,1.27034,0.77365,1.00077,0.64348,0.45379,0.50604,0.30053,1.75506,1.42246,1.25975,0.006964,0.006964,0.006964
94,15132.5,1.2649,0.77024,0.99919,0.64585,0.45292,0.50676,0.30073,1.75472,1.42374,1.25954,0.006931,0.006931,0.006931
95,15291.3,1.26972,0.77195,0.99933,0.64446,0.45406,0.50711,0.301,1.7534,1.42369,1.25898,0.006898,0.006898,0.006898
