epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,25182.6,1.30455,0.83461,1.00873,0.64046,0.44463,0.48395,0.27479,1.76249,1.55139,1.24769,0.006865,0.006865,0.006865
97,25439.1,1.2996,0.83024,1.00916,0.64084,0.44557,0.48405,0.27482,1.76191,1.54968,1.24754,0.006832,0.006832,0.006832
98,25695.7,1.29784,0.83083,1.00843,0.64209,0.44476,0.48417,0.27501,1.76146,1.54976,1.2474,0.006799,0.006799,0.006799
99,25951.9,1.30111,0.83151,1.00925,0.64306,0.44493,0.48475,0.27552,1.76116,1.54792,1.24698,0.006766,0.006766,0.006766
100,26208.6,1.29744,0.82735,1.00728,0.64224,0.44545,0.48531,0.27594,1.76051,1.54755,1.24656,0.006733,0.006733,0.006733
101,26468.1,1.30143,0.83023,1.00895,0.64156,0.4456,0.4858,0.27627,1.76067,1.54774,1.24642,0.0067,0.0067,0.0067
102,26738.2,1.29354,0.82605,1.00689,0.64013,0.4463,0.48569,0.27622,1.76097,1.54759,1.24635,0.006667,0.006667,0.006667
103,26994.5,1.2958,0.82486,1.00589,0.6411,0.4457,0.48608,0.2764,1.76051,1.54619,1.24607,0.006634,0.006634,0.006634
104,27251,1.29151,0.82344,1.00505,0.64457,0.4432,0.48591,0.27634,1.76054,1.54644,1.24593,0.006601,0.006601,0.006601
105,27507.6,1.29639,0.82489,1.00477,0.6447,0.44205,0.48616,0.27657,1.76002,1.54628,1.24546,0.006568,0.006568,0.006568
106,27764.1,1.29328,0.82205,1.00393,0.63743,0.44579,0.48664,0.27714,1.75938,1.54657,1.24517,0.006535,0.006535,0.006535
107,28021.2,1.29107,0.82067,1.00398,0.63896,0.44612,0.48733,0.27768,1.75869,1.5446,1.24477,0.006502,0.006502,0.006502
108,28278,1.29269,0.82023,1.00441,0.64057,0.44634,0.48759,0.27749,1.75905,1.54476,1.24478,0.006469,0.006469,0.006469
109,28535.6,1.29184,0.82114,1.00492,0.64071,0.44547,0.48756,0.27771,1.75934,1.54581,1.24488,0.006436,0.006436,0.006436
110,28792.7,1.29154,0.81803,1.00129,0.63904,0.44677,0.48814,0.27811,1.75935,1.54789,1.24448,0.006403,0.006403,0.006403
111,29049.6,1.28987,0.82072,1.00317,0.63684,0.44922,0.48848,0.27848,1.7599,1.54829,1.24449,0.00637,0.00637,0.00637
112,29307.3,1.29016,0.81983,1.00075,0.63706,0.44856,0.48844,0.27852,1.76009,1.54768,1.24445,0.006337,0.006337,0.006337
113,29564.6,1.28671,0.81598,1.00276,0.63415,0.44922,0.4885,0.27865,1.76003,1.54744,1.24433,0.006304,0.006304,0.006304
114,29821.9,1.28429,0.81475,1.00028,0.63615,0.44888,0.48929,0.27892,1.76037,1.54871,1.24429,0.006271,0.006271,0.006271
115,30079.1,1.28763,0.81719,1.00302,0.63544,0.44977,0.48986,0.27918,1.75972,1.54841,1.24393,0.006238,0.006238,0.006238
116,30335.6,1.28991,0.82007,1.0017,0.63153,0.45093,0.49003,0.27937,1.75977,1.54706,1.24364,0.006205,0.006205,0.006205
117,30591.9,1.28355,0.81352,1.0001,0.63344,0.45093,0.49059,0.27952,1.75987,1.54653,1.24348,0.006172,0.006172,0.006172
118,30848.6,1.28413,0.81161,0.99857,0.6335,0.4513,0.49075,0.27955,1.76014,1.54692,1.24336,0.006139,0.006139,0.006139
119,31105.3,1.28431,0.81305,1.00103,0.63442,0.45199,0.49138,0.27993,1.75974,1.54644,1.2429,0.006106,0.006106,0.006106
120,31362.3,1.28496,0.81232,1.00133,0.63117,0.45352,0.49169,0.27996,1.75908,1.54594,1.24236,0.006073,0.006073,0.006073
121,31618.9,1.27844,0.80815,0.99813,0.62956,0.4539,0.49168,0.28004,1.75871,1.54626,1.24185,0.00604,0.00604,0.00604
122,31875.3,1.27766,0.80707,0.99729,0.63059,0.4531,0.49151,0.28013,1.75804,1.54575,1.24128,0.006007,0.006007,0.006007
123,32131.4,1.28057,0.80845,0.99859,0.62986,0.4533,0.4917,0.28044,1.75711,1.54498,1.24076,0.005974,0.005974,0.005974
124,32387.5,1.28071,0.80754,0.9995,0.63136,0.45298,0.49212,0.28049,1.75708,1.54551,1.24052,0.005941,0.005941,0.005941
125,32644.5,1.27921,0.80745,0.99865,0.6286,0.4522,0.49167,0.28043,1.7575,1.54582,1.24042,0.005908,0.005908,0.005908
126,32908.7,1.27488,0.80424,0.99846,0.63498,0.44977,0.49208,0.28066,1.75731,1.545,1.24007,0.005875,0.005875,0.005875
