                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                  1.259,                0.77474,                0.99336,                0.67714,                0.48894,                 0.5716,                0.32739,                   1.75,                 1.3014,                 1.2368,               0.008515,               0.008515,               0.008515
                     47,                 1.2602,                0.77419,                0.99319,                0.69284,                0.51335,                0.58962,                0.33313,                 1.7474,                 1.3088,                 1.2367,               0.008482,               0.008482,               0.008482
                     48,                 1.2582,                0.77318,                0.99365,                0.68688,                0.51446,                0.58788,                0.33126,                 1.7728,                 1.3485,                 1.2533,               0.008449,               0.008449,               0.008449
                     49,                 1.2604,                0.77435,                0.99331,                0.69965,                0.51265,                0.59313,                  0.334,                 1.7759,                 1.3519,                 1.2571,               0.008416,               0.008416,               0.008416
                     50,                 1.2584,                 0.7708,                0.99052,                0.70727,                0.51759,                 0.5979,                0.33565,                 1.7661,                 1.3447,                 1.2515,               0.008383,               0.008383,               0.008383
                     51,                 1.2555,                0.76619,                0.98966,                0.70608,                0.50906,                0.59481,                0.33438,                 1.7607,                 1.3371,                  1.246,                0.00835,                0.00835,                0.00835
                     52,                 1.2553,                 0.7687,                0.99107,                0.69294,                0.51532,                0.59376,                0.32865,                 1.7443,                  1.332,                 1.2373,               0.008317,               0.008317,               0.008317
                     53,                 1.2536,                0.76538,                0.99158,                0.69801,                 0.5177,                0.59701,                0.33185,                 1.7411,                 1.3367,                 1.2342,               0.008284,               0.008284,               0.008284
                     54,                 1.2511,                0.76252,                0.99019,                0.68591,                 0.5315,                0.60286,                0.33315,                 1.7415,                 1.3106,                 1.2346,               0.008251,               0.008251,               0.008251
                     55,                 1.2525,                0.76258,                0.98868,                0.69201,                0.53498,                0.60451,                0.33657,                   1.74,                 1.3052,                 1.2341,               0.008218,               0.008218,               0.008218
                     56,                 1.2545,                0.76389,                0.98954,                0.69503,                0.52956,                0.60385,                 0.3352,                 1.7439,                 1.3138,                 1.2367,               0.008185,               0.008185,               0.008185
                     57,                  1.246,                0.75851,                0.98639,                0.70319,                  0.529,                0.60636,                0.33811,                 1.7483,                 1.3126,                 1.2382,               0.008152,               0.008152,               0.008152
